cinema_name,street,suburb,postcode,cinema_type,latitude,longitude,state
Lawrence Bros. Talkies,nan,Poowong,3988,Touring Circuit,-38.342517,145.763912,VIC
Athenaeum,Ocean Beach Rd,Sorrento,3943,Indoor Cinema,-38.341362,144.7349245,VIC
Victoria,nan,Colac,3250,Indoor Cinema,-38.340044,143.58443799999998,VIC
Crystal,nan,Birregurra,3242,Indoor Cinema,-38.3393,143.784736,VIC
Wensley Bray Coal Mine,nan,Winchelsea South,3241,Indoor Cinema,-38.339249,143.96656399999998,VIC
A. R. Anderson,nan,Birregurra,3242,Touring Circuit,-38.339,143.78473300000002,VIC
Regent,nan,Colac,3250,Indoor Cinema,-38.33894,143.5897,VIC
Mechanics,Jenner Street,Birregurra,3242,Indoor Cinema,-38.336782,143.78118899999998,VIC
Shandon,nan,Colac,3250,Drive-In,-38.334216999999995,143.603283,VIC
Torquay,nan,Torquay,3228,Indoor Cinema,-38.333,144.32399999999998,VIC
Mechanics' Hall,nan,Nyora,3987,Indoor Cinema,-38.332643,145.672909,VIC
Cobden,nan,Cobden,3266,Indoor Cinema,-38.329,143.077,VIC
A. R. Anderson,nan,Panmure,3265,Touring Circuit,-38.328549,142.732296,VIC
Public Hall,nan,Panmure,3265,Indoor Cinema,-38.327619,142.732719,VIC
J. H.Lindsay,nan,Yinnar,3869,Touring Circuit,-38.322136,146.327749,VIC
Peninsula,133 Nepean Highway,Dromana,3936,Drive-In,-38.3210477,145.0146559,VIC
Mechanics,Nepean Highway,Dromana,3936,Indoor Cinema,-38.321047,145.014655,VIC
Town Hall,nan,Hastings,3915,Indoor Cinema,-38.307717,145.189371,VIC
Al Hewat,nan,Gormondale,3873,Touring Circuit,-38.294993,146.701907,VIC
J. H.Lindsay,nan,Gormandale,3873,Touring Circuit,-38.294989,146.701904,VIC
Saint Patrick's,nan,Koroit,3282,Indoor Cinema,-38.292,142.36700000000002,VIC
Koroit,nan,Koroit,3282,Indoor Cinema,-38.291727,142.364054,VIC
Lawrence Bros. Talkies,nan,Thorpdale,3835,Touring Circuit,-38.28969,146.176325,VIC
A. J. C. Bateman,nan,Cororooke,3254,Touring Circuit,-38.28735,143.522785,VIC
Hall,nan,Point Lonsdale,3225,Indoor Cinema,-38.286,144.614,VIC
Civic,nan,Barwon Heads,3227,Indoor Cinema,-38.281,144.49200000000002,VIC
Public Hall,Corner of Hitchcock Avenue and Ozone Road,Barwon Heads,3227,Indoor Cinema,-38.278638,144.491964,VIC
Grand,nan,Queenscliff,3225,Indoor Cinema,-38.268799,144.660423,VIC
Pictures,nan,Ocean Grove,3226,Indoor Cinema,-38.267860999999996,144.522806,VIC
Grove,nan,Ocean Grove,3226,Indoor Cinema,-38.267567,144.524007,VIC
Civic,nan,Queenscliff,3225,Indoor Cinema,-38.266999999999996,144.661,VIC
Memorial Hall,nan,Lang Lang,3984,Indoor Cinema,-38.265,145.565,VIC
Cinema,Willis Street,Winchelsea,3241,Indoor Cinema,-38.244157,143.98656499999998,VIC
A. R. Anderson,Willis Street,Winchelsea,3241,Touring Circuit,-38.243394,143.989266,VIC
Globe,Willis Street,Winchelsea,3241,Indoor Cinema,-38.242695,143.990197,VIC
Town Hall,Corner Hazelwood and Commercial Roads,Morwell,3840,Indoor Cinema,-38.236758,146.394814,VIC
Mechanics,nan,Terang,3264,Indoor Cinema,-38.236,142.911,VIC
Paramount,Buckley Street,Morwell,3840,Indoor Cinema,-38.235890000000005,146.399722,VIC
Maya,Buckley Street,Morwell,3840,Indoor Cinema,-38.235759,146.39916499999998,VIC
Karma,nan,Morwell,3840,Indoor Cinema,-38.235434000000005,146.397942,VIC
Royal,nan,Camperdown,3260,Indoor Cinema,-38.233000000000004,143.14700000000002,VIC
Panoramic,"LaTrobe Road, near Holmes Road",Morwell,3840,Drive-In,-38.2262,146.395792,VIC
Coronet,nan,Somerville,3912,Indoor Cinema,-38.224000000000004,145.17600000000002,VIC
Plaza,1 Main Street,Mornington,3931,Indoor Cinema,-38.223101,145.040785,VIC
Lawrence Bros. Talkies,nan,Tooradin,3980,Touring Circuit,-38.214054,145.380463,VIC
Village,nan,Traralgon,3844,Drive-In,-38.209345,146.492424,VIC
Ideal,nan,Trafalgar,3824,Indoor Cinema,-38.208,146.151,VIC
Lawrence Bros. Talkies,nan,Yarragon,3823,Touring Circuit,-38.204,146.069,VIC
Hall,nan,Yarragon,3825,Indoor Cinema,-38.203881,146.063822,VIC
Wattle,nan,Koo wee rup,3981,Indoor Cinema,-38.199,145.491,VIC
A. J. C. Bateman,nan,Beeac,3251,Touring Circuit,-38.193925,143.64045900000002,VIC
Mechanics,nan,Traralgon,3844,Indoor Cinema,-38.193000000000005,146.53799999999998,VIC
Yallourn,nan,Yallourn,3825,Indoor Cinema,-38.186,146.346,VIC
Star,Moolap Station Road,Geelong,3220,Drive-In,-38.17855,144.420181,VIC
Civic,nan,Moe,3825,Indoor Cinema,-38.177,146.265,VIC
Mechanics,nan,Moe,3825,Indoor Cinema,-38.176321,146.260955,VIC
Tenants Hall,nan,Newborough East,3825,Indoor Cinema,-38.175915,146.306984,VIC
A.C. Talkies,nan,Drysdale,3222,Indoor Cinema,-38.172,144.571,VIC
Fairsky,Thompsons Road,Moe,3825,Drive-In,-38.170549,146.283291,VIC
Thompson,nan,Geelong East,3219,Indoor Cinema,-38.166409,144.380468,VIC
Monash,Reserve Street,Yallourn North,3825,Indoor Cinema,-38.163104,146.362042,VIC
Warragul,nan,Warragul,3820,Indoor Cinema,-38.163000000000004,145.931,VIC
C. W. Fullerton,nan,Brown Coal Mine (Yallourn North),3825,Touring Circuit,-38.161122999999996,146.362277,VIC
Public Hall,nan,Yallourn North,3825,Indoor Cinema,-38.160212,146.362412,VIC
J. H.Lindsay,nan,Brown Coal Mine (Yallourn North),3825,Touring Circuit,-38.160014000000004,146.362363,VIC
A. & D. Sandilands,nan,Rosedale,3847,Touring Circuit,-38.154188,146.790122,VIC
Embassy,Russell Street,Chilwell,3220,Indoor Cinema,-38.154,144.335,VIC
Al Hewat,nan,Rosedale,3847,Touring Circuit,-38.15354,146.789055,VIC
Palais Royal,Moorabool Street,Geelong,3220,Indoor Cinema,-38.153482000000004,144.357901,VIC
J. H.Lindsay,nan,Rosedale,3847,Touring Circuit,-38.153249,146.78936399999998,VIC
N. V. Teychenne,nan,Rosedale,3847,Touring Circuit,-38.152617,146.789178,VIC
Cook & Baillie,nan,Bessiebelle,3304,Touring Circuit,-38.152412,141.958934,VIC
Plaza,Ryrie Street,Geelong,3220,Indoor Cinema,-38.151297,144.366838,VIC
Twilite,Copelands Road,Warragul,3820,Drive-In,-38.150859000000004,145.962017,VIC
Geelong,196 Ryrie Street,Geelong,3220,Indoor Cinema,-38.149949,144.360917,VIC
Embassy,nan,Geelong,3220,Indoor Cinema,-38.148498,144.36157,VIC
Regent,120-124 Little Malop Street,Geelong,3220,Indoor Cinema,-38.148418,144.360945,VIC
Corio,Little Malop Street,Geelong,3220,Indoor Cinema,-38.148270000000004,144.360348,VIC
Plaza,Playne Street,Frankston,3199,Indoor Cinema,-38.145908,145.124569,VIC
West Park,Autumn Street,Geelong,3220,Indoor Cinema,-38.141636,144.336145,VIC
Hall,Main Street,Drouin,3818,Indoor Cinema,-38.137,145.859,VIC
Lawrence Bros. Talkies,nan,Drouin,3818,Touring Circuit,-38.136185,145.857135,VIC
Starlite,Skye Road,Frankston,3199,Drive-In,-38.135614000000004,145.151903,VIC
