id,latitude,longitude,australian_states_id,locality_types_id,film_weekly_cinema_types_id,street,suburb,postcode,cinema_name,exhibitor_name,capacity,shortname,description,description,helper column
113,-41.580015,148.184736,8,3,1,,Saint Mary's,7215,City Pictures,Star Thrs. Pty. Ltd.,350,TAS,Indoor Cinema,Rural,0
114,-41.570986,147.248834,8,3,3,,Evandale,7212,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,1
115,-41.556883,146.407843,8,3,1,,Mole Creek,7304,Memorial Hall,Secretary,300,TAS,Indoor Cinema,Rural,0
116,-41.52609,146.833943,8,3,1,,Westbury,7303,Town Hall,Star Theatres Pty. Ltd.,275,TAS,Indoor Cinema,Rural,1
117,-41.524748,146.658808,8,3,1,,Deloraine,7304,Town Hall,Star Theatres Pty. Ltd.,280,TAS,Indoor Cinema,Rural,0
118,-41.444351,145.530956,8,3,1,,Waratah,7321,Athenaeum,W. J. Davies,330,TAS,Indoor Cinema,Rural,1
119,-41.438023,147.138874,8,3,1,"Tatler Arcade, St John Street",Launceston,7250,Tatler,Tasmanian Amusements Pty. Ltd.,341,TAS,Indoor Cinema,Rural,0
120,-41.436515,147.139963,8,3,1,Brisbane Street,Launceston,7250,Majestic,Greater Union Ths. Pty. Ltd.,1295,TAS,Indoor Cinema,Rural,1
121,-41.436344,147.140516,8,3,1,57 Brisbane Street,Launceston,7250,Princess,Hoyts Theatres Ltd.,1079,TAS,Indoor Cinema,Rural,0
122,-41.4359522,147.140543,8,3,1,Corner of Brisbane Street and George Street,Launceston,7250,Plaza,Tasmanian Amusements Pty. Ltd.,1012,TAS,Indoor Cinema,Rural,1
123,-41.435296,147.145197,8,3,2,,Launceston,7250,Village,Village Drive-In ( Mowbray) Pty. Ltd.,877,TAS,Drive-In,Rural,0
124,-41.420612,147.135346,8,3,1,,lnvermay,7248,Star,Star Theatres Pty. Ltd.,814,TAS,Indoor Cinema,Rural,1
125,-41.401466,147.130225,8,3,2,,Mowbray,7248,Village,Village Drive-In ( Mowbray) Pty. Ltd.,630,TAS,Drive-In,Rural,0
126,-41.387312,146.175939,8,3,3,,Wilmot,7310,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,1
127,-41.382171,146.324769,8,3,3,,Sheffield,7306,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,0
128,-41.345924,146.422873,8,3,3,,Railton,7305,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,1
129,-41.316045,148.234705,8,3,1,,Saint Helens,7216,Thompson's Hall,G. Mitchell,200,TAS,Indoor Cinema,Rural,0
